Model;SizeOriginal;VertOriginal;EdgesOriginal;PolyOriginal;SizeCompressed;CL;QP;SizeDecompressed;VertDecompressed;EdgesDecompressed;PolyDecompressed;compressionRatio;VertLoss;EdgesLoss;PolyLoss
hand1.obj;8741826;81718;245148;163432;97381;10;13;5689860;81718;245148;163432;89.7693;0;0;0
hand3.obj;8779424;82175;246519;164346;95669;10;13;5706913;82175;246519;164346;91.7687;0;0;0
hand5.obj;8546977;80149;240441;160294;96578;10;13;5562990;80149;240441;160294;88.4982;0;0;0
hare.obj;10379096;100705;302109;201406;96568;10;13;7143908;100705;302109;201406;107.48;0;0;0
head1.obj;11260423;104946;314832;209888;127933;10;13;7352431;104946;314832;209888;88.0181;0;0;0
head2.obj;11253663;105123;315363;210242;126671;10;13;7345996;105123;315363;210242;88.8417;0;0;0
hippo.obj;5911046;57788;173358;115572;68591;10;13;4060613;57788;173358;115572;86.1782;0;0;0
homer.obj;25123484;224575;673719;449146;185782;10;13;16516878;224575;673719;449146;135.231;0;0;0
horse.obj;4980295;48476;145422;96948;80681;10;13;3340055;48476;145422;96948;61.7282;0;0;0
house.obj;6707559;65346;196032;130688;84087;10;13;4658251;65346;196032;130688;79.7693;0;0;0
human1.obj;966298;10231;30687;20458;24623;10;13;653523;10231;30687;20458;39.2437;0;0;0
igea.obj;11210191;101942;305820;203880;116481;10;13;7119755;101942;305820;203880;96.2405;0;0;0
insect.obj;928013;9844;29526;19684;19045;10;13;628128;9844;29526;19684;48.7274;0;0;0
isidora_horse.obj;1991977;20441;61317;40878;44468;10;13;1523426;20441;61317;40878;44.7957;0;0;0
isidore_horse.obj;1893120;19465;58389;38926;40548;10;13;1447698;19465;58389;38926;46.6884;0;0;0
koala.obj;5654435;55258;165768;110512;69870;10;13;3890253;55258;165768;110512;80.9279;0;0;0
leopard.obj;5326669;52085;156249;104166;67203;10;13;3654767;52085;156249;104166;79.2624;0;0;0
lion.obj;3568405;33006;99012;66008;76021;10;13;2241019;33006;99012;66008;46.9397;0;0;0
moai.obj;1038709;10402;31200;20800;29634;10;13;668102;10402;31200;20800;35.0513;0;0;0
monkey.obj;5208290;50773;152313;101542;64324;10;13;3630378;50773;152313;101542;80.9696;0;0;0
mouse.obj;1305818;13961;41877;27918;30964;10;13;1022213;13961;41877;27918;42.1721;0;0;0
octa.obj;1120845;16386;49152;32768;1235;10;13;1088119;16386;49152;32768;907.567;0;0;0
octaflat.obj;1120845;16386;49152;32768;1292;10;13;1088121;16386;49152;32768;867.527;0;0;0
octa_flower.obj;730273;7994;23976;15984;11824;10;13;512118;7994;23976;15984;61.7619;0;0;0
orangutan.obj;17943102;169893;509673;339782;146617;10;13;12639755;169893;509673;339782;122.381;0;0;0
owl.obj;5467126;53291;159867;106578;67750;10;13;3764378;53291;159867;106578;80.6956;0;0;0
pear.obj;987809;10754;32256;21504;16585;10;13;695636;10754;32256;21504;59.5604;0;0;0
pensatore.obj;8372465;79539;238611;159074;97676;10;13;6137300;79539;238611;159074;85.7167;0;0;0
pierrot.obj;6901103;67029;201081;134054;80786;10;13;4977222;67029;201081;134054;85.4245;0;0;0
pig.obj;1672641;15929;47781;31854;32447;10;13;1055234;15929;47781;31854;51.5499;0;0;0
rabbit.obj;7938729;74428;223278;148852;90744;10;13;5181047;74428;223278;148852;87.4849;0;0;0
ramses.obj;1289550;13505;40509;27006;28787;10;13;958337;13505;40509;27006;44.7963;0;0;0
rhino.obj;6145098;60056;180162;120108;71781;10;13;4222469;60056;180162;120108;85.609;0;0;0
santa.obj;1015119;10406;31212;20808;22539;10;13;667765;10406;31212;20808;45.0383;0;0;0
screwdriver.obj;11362577;104333;312993;208662;105956;10;13;7353713;104333;312993;208662;107.239;0;0;0
sculpture1.obj;5688710;55426;166272;110848;72389;10;13;3889557;55426;166272;110848;78.5853;0;0;0
shark.obj;10137275;93592;280770;187180;96370;10;13;6535804;93592;280770;187180;105.191;0;0;0
Shrek.obj;6958954;68607;205815;137210;87295;10;13;4932138;68607;205815;137210;79.7177;0;0;0
sphinx.obj;991398;10608;31818;21212;24563;10;13;681647;10608;31818;21212;40.3614;0;0;0
squirrel.obj;4945008;47211;141627;94418;59144;10;13;3191248;47211;141627;94418;83.6096;0;0;0
stand_shark.obj;5980705;58217;174645;116430;76966;10;13;4320901;58217;174645;116430;77.7058;0;0;0
teddy.obj;5160798;48865;146589;97726;58215;10;13;3375108;48865;146589;97726;88.6507;0;0;0
toy_dinosaur.obj;7490893;73141;219417;146278;82686;10;13;5177364;73141;219417;146278;90.5945;0;0;0
tyra.obj;10417657;100002;300000;200000;206874;10;13;7029684;100002;300000;200000;50.3575;0;0;0
