Model;SizeOriginal;VertOriginal;EdgesOriginal;PolyOriginal;SizeCompressed;CL;QP;SizeDecompressed;VertDecompressed;EdgesDecompressed;PolyDecompressed;compressionRatio;VertLoss;EdgesLoss;PolyLoss
130206_sf.obj;3408385;33449;100341;66894;38803;10;11;2318832;33449;100341;66894;87.8382;0;0;0
131969_sf.obj;2447898;23616;70842;47228;22426;10;11;1601414;23616;70842;47228;109.154;0;0;0
136024_sf.obj;2194555;21874;65616;43744;27975;10;11;1486354;21874;65616;43744;78.447;0;0;0
190698_sf.obj;5703340;55488;166458;110972;64309;10;11;3976431;55488;166458;110972;88.6865;0;0;0
200081_sf.obj;12375281;118948;356838;237892;96867;10;11;8730091;118948;356838;237892;127.755;0;0;0
203289_sf.obj;17490347;165244;495726;330484;135037;10;11;12092296;165244;495726;330484;129.523;0;0;0
230923_sf.obj;8068117;79220;237654;158436;91215;10;11;5640170;79220;237654;158436;88.4516;0;0;0
285607_sf.obj;9357545;90777;272325;181550;75194;10;11;6438681;90777;272325;181550;124.445;0;0;0
293987_sf.obj;5305368;51912;155730;103820;60916;10;11;3737483;51912;155730;103820;87.0932;0;0;0
59333_sf.obj;5201813;50941;152817;101878;62384;10;11;3575102;50941;152817;101878;83.3838;0;0;0
75147_sf.obj;6485057;63991;191967;127978;71169;10;11;4585135;63991;191967;127978;91.1219;0;0;0
78671_sf.obj;18037060;169427;508275;338850;118207;10;11;12516210;169427;508275;338850;152.589;0;0;0
87151_sf.obj;12703260;122376;367122;244748;97856;10;11;8900023;122376;367122;244748;129.816;0;0;0
93497_sf.obj;20931531;196431;589287;392858;142412;10;11;14771313;196431;589287;392858;146.979;0;0;0
airplane1.obj;511185;5400;16194;10796;6671;10;11;341714;5400;16194;10796;76.6279;0;0;0
airplane2.obj;10323626;95180;285534;190356;82497;10;11;6658036;95180;285534;190356;125.139;0;0;0
airplane3.obj;9315945;86122;258360;172240;67912;10;11;6005128;86122;258360;172240;137.177;0;0;0
angle.obj;6848076;67468;202398;134932;59642;10;11;4818736;67468;202398;134932;114.82;0;0;0
armchair.obj;1193428;12972;38910;25940;18504;10;11;873683;12972;38910;25940;64.4957;0;0;0
bimba.obj;1019462;10797;32385;21590;16408;10;11;696273;10797;32385;21590;62.132;0;0;0
bird.obj;779801;7586;22752;15168;11895;10;11;480211;7586;22752;15168;65.557;0;0;0
blade.obj;1568336;15974;47916;31944;23532;10;11;1062559;15974;47916;31944;66.6469;0;0;0
bone.obj;138616;1513;4533;3022;3089;10;11;88602;1513;4533;3022;44.8741;0;0;0
buddha.obj;7269571;70734;212196;141464;64133;10;11;5025657;70734;212196;141464;113.351;0;0;0
bulldog.obj;6027870;58885;176649;117766;55377;10;11;4158833;58885;176649;117766;108.852;0;0;0
bumpy_sphere.obj;577901;5879;17631;11754;14310;10;11;372811;5879;17631;11754;40.3844;0;0;0
bunny.obj;1041464;11247;33735;22490;17627;10;11;709316;11247;33735;22490;59.0835;0;0;0
bunny2.obj;3520456;34817;104445;69630;42947;10;11;2375013;34817;104445;69630;81.9721;0;0;0
bust2.obj;9771918;92894;278676;185784;79014;10;11;6494051;92894;278676;185784;123.673;0;0;0
bust3.obj;9768136;93070;279204;186136;80448;10;11;6503920;93070;279204;186136;121.422;0;0;0
bust4.obj;2752321;26278;78828;52552;36446;10;11;1787614;26278;78828;52552;75.5178;0;0;0
bust5.obj;5587360;52644;157926;105284;50667;10;11;3642602;52644;157926;105284;110.276;0;0;0
bust6.obj;4202774;41232;123690;82460;38062;10;11;2949762;41232;123690;82460;110.419;0;0;0
buste.obj;1678588;17341;52017;34678;20628;10;11;1156905;17341;52017;34678;81.3742;0;0;0
camile_hand.obj;1724670;17983;53943;35962;25491;10;11;1312775;17983;53943;35962;67.658;0;0;0
camille_hand.obj;1582111;16565;49689;33126;21478;10;11;1204168;16565;49689;33126;73.6619;0;0;0
cat.obj;32984652;294677;884025;589350;183500;10;11;21879649;294677;884025;589350;179.753;0;0;0
chinese_dragon.obj;2725841;26608;79818;53212;38192;10;11;1927027;26608;79818;53212;71.372;0;0;0
chinese_lion.obj;2380625;25194;75576;50384;33872;10;11;1820640;25194;75576;50384;70.283;0;0;0
colonel.obj;6774134;66557;199665;133110;60465;10;11;4730738;66557;199665;133110;112.034;0;0;0
component.obj;5093904;47897;143685;95790;45443;10;11;3312131;47897;143685;95790;112.094;0;0;0
coverrear.obj;886590;10767;32295;21530;16911;10;11;711169;10767;32295;21530;52.4268;0;0;0
david.obj;2398667;25434;76296;50864;47703;10;11;1721655;25434;76296;50864;50.2834;0;0;0
deformed_armadillo.obj;2061997;21823;65463;43642;30081;10;11;1514646;21823;65463;43642;68.5482;0;0;0
devil.obj;1377654;13250;39744;26496;20128;10;11;866685;13250;39744;26496;68.4447;0;0;0
dilo.obj;2875901;26675;80019;53346;30331;10;11;1818376;26675;80019;53346;94.8172;0;0;0
dog1.obj;9389578;87921;263757;175838;78684;10;11;6126615;87921;263757;175838;119.333;0;0;0
duck.obj;111296;1147;3435;2290;3757;10;11;67197;1147;3435;2290;29.6236;0;0;0
duck2.obj;894582;9640;28914;19276;21403;10;11;655310;9640;28914;19276;41.797;0;0;0
fish.obj;3264638;31176;93522;62348;30781;10;11;2129703;31176;93522;62348;106.06;0;0;0
foot.obj;1120516;10958;32868;21912;15716;10;11;711198;10958;32868;21912;71.2978;0;0;0
fox.obj;6166062;60238;180708;120472;51944;10;11;4247709;60238;180708;120472;118.706;0;0;0
gargoyle.obj;10039482;100002;300000;200000;175438;10;11;6946122;100002;300000;200000;57.2252;0;0;0
goldfish.obj;23669421;221881;665637;443758;151106;10;11;16581597;221881;665637;443758;156.641;0;0;0
hand.obj;562085;5482;16440;10960;12368;10;11;345950;5482;16440;10960;45.4467;0;0;0
hand1.obj;8741826;81718;245148;163432;68961;10;11;5689913;81718;245148;163432;126.765;0;0;0
hand3.obj;8779424;82175;246519;164346;64482;10;11;5706832;82175;246519;164346;136.153;0;0;0
hand5.obj;8546977;80149;240441;160294;69193;10;11;5562964;80149;240441;160294;123.524;0;0;0
hare.obj;10379096;100705;302109;201406;79253;10;11;7144069;100705;302109;201406;130.962;0;0;0
head1.obj;11260423;104946;314832;209888;93707;10;11;7352375;104946;314832;209888;120.166;0;0;0
head2.obj;11253663;105123;315363;210242;93204;10;11;7346000;105123;315363;210242;120.742;0;0;0
