Model;SizeOriginal;VertOriginal;EdgesOriginal;PolyOriginal;SizeCompressed;CL;QP;SizeDecompressed;VertDecompressed;EdgesDecompressed;PolyDecompressed;compressionRatio;VertLoss;EdgesLoss;PolyLoss
hippo.obj;5911046;57788;173358;115572;48655;10;11;4060571;57788;173358;115572;121.489;0;0;0
homer.obj;25123484;224575;673719;449146;130767;10;11;16516949;224575;673719;449146;192.124;0;0;0
horse.obj;4980295;48476;145422;96948;55620;10;11;3340020;48476;145422;96948;89.5414;0;0;0
house.obj;6707559;65346;196032;130688;63773;10;11;4658246;65346;196032;130688;105.179;0;0;0
human1.obj;966298;10231;30687;20458;16821;10;11;653523;10231;30687;20458;57.4459;0;0;0
igea.obj;11210191;101942;305820;203880;84042;10;11;7119696;101942;305820;203880;133.388;0;0;0
insect.obj;928013;9844;29526;19684;11834;10;11;628131;9844;29526;19684;78.4192;0;0;0
isidora_horse.obj;1991977;20441;61317;40878;29264;10;11;1523429;20441;61317;40878;68.0692;0;0;0
isidore_horse.obj;1893120;19465;58389;38926;26267;10;11;1447700;19465;58389;38926;72.0722;0;0;0
koala.obj;5654435;55258;165768;110512;50631;10;11;3890160;55258;165768;110512;111.679;0;0;0
leopard.obj;5326669;52085;156249;104166;48473;10;11;3654783;52085;156249;104166;109.889;0;0;0
lion.obj;3568405;33006;99012;66008;51303;10;11;2241012;33006;99012;66008;69.5555;0;0;0
moai.obj;1038709;10402;31200;20800;21392;10;11;668103;10402;31200;20800;48.556;0;0;0
monkey.obj;5208290;50773;152313;101542;47439;10;11;3630400;50773;152313;101542;109.789;0;0;0
mouse.obj;1305818;13961;41877;27918;20222;10;11;1022213;13961;41877;27918;64.5741;0;0;0
octa.obj;1120845;16386;49152;32768;1145;10;11;1088119;16386;49152;32768;978.904;0;0;0
octaflat.obj;1120845;16386;49152;32768;1199;10;11;1088121;16386;49152;32768;934.817;0;0;0
octa_flower.obj;730273;7994;23976;15984;9269;10;11;512089;7994;23976;15984;78.7866;0;0;0
orangutan.obj;17943102;169893;509673;339782;126916;10;11;12639609;169893;509673;339782;141.378;0;0;0
owl.obj;5467126;53291;159867;106578;49303;10;11;3764455;53291;159867;106578;110.888;0;0;0
pear.obj;987809;10754;32256;21504;10171;10;11;695627;10754;32256;21504;97.1201;0;0;0
pensatore.obj;8372465;79539;238611;159074;71312;10;11;6137300;79539;238611;159074;117.406;0;0;0
pierrot.obj;6901103;67029;201081;134054;59173;10;11;4977212;67029;201081;134054;116.626;0;0;0
pig.obj;1672641;15929;47781;31854;20718;10;11;1055241;15929;47781;31854;80.7337;0;0;0
rabbit.obj;7938729;74428;223278;148852;64902;10;11;5181093;74428;223278;148852;122.319;0;0;0
ramses.obj;1289550;13505;40509;27006;18697;10;11;958329;13505;40509;27006;68.971;0;0;0
rhino.obj;6145098;60056;180162;120108;51591;10;11;4222555;60056;180162;120108;119.112;0;0;0
santa.obj;1015119;10406;31212;20808;14698;10;11;667759;10406;31212;20808;69.0651;0;0;0
screwdriver.obj;11362577;104333;312993;208662;77003;10;11;7353788;104333;312993;208662;147.56;0;0;0
sculpture1.obj;5688710;55426;166272;110848;54313;10;11;3889672;55426;166272;110848;104.739;0;0;0
shark.obj;10137275;93592;280770;187180;69959;10;11;6536038;93592;280770;187180;144.903;0;0;0
Shrek.obj;6958954;68607;205815;137210;64575;10;11;4932139;68607;205815;137210;107.765;0;0;0
sphinx.obj;991398;10608;31818;21212;16419;10;11;681652;10608;31818;21212;60.3811;0;0;0
squirrel.obj;4945008;47211;141627;94418;43557;10;11;3191247;47211;141627;94418;113.53;0;0;0
stand_shark.obj;5980705;58217;174645;116430;55881;10;11;4320691;58217;174645;116430;107.026;0;0;0
teddy.obj;5160798;48865;146589;97726;42325;10;11;3375088;48865;146589;97726;121.933;0;0;0
toy_dinosaur.obj;7490893;73141;219417;146278;55754;10;11;5177277;73141;219417;146278;134.356;0;0;0
tyra.obj;10417657;100002;300000;200000;135130;10;11;7029785;100002;300000;200000;77.0936;0;0;0
