model;sizeOriginal;vertOriginal;edgesOriginal;polyOriginal;sizeCompressed;cl;qp;sizeDecompressed;vertDecompressed;edgesDecompressed;polyDecompressed;sizeLoss;vertLoss;edgesLoss;polyLoss
airplane1;511185;5400;16194;10796;30101;8;22;341719;5400;16194;10796;5.88847;0;0;0
airplane1;511185;5400;16194;10796;30101;8;22;341719;5400;16194;10796;5.88847;0;0;0
airplane1;511185;5400;16194;10796;30101;8;22;341719;5400;16194;10796;5.88847;0;0;0
airplane1;511185;5400;16194;10796;30101;8;22;341719;5400;16194;10796;5.88847;0;0;0
airplane1;511185;5400;16194;10796;30101;8;22;341719;5400;16194;10796;5.88847;0;0;0
